cells_id	x	gene_ENSG00000232810	gene_ENSG00000109471	gene_ENSG00000111537	gene_ENSG00000178562	gene_ENSG00000109956	gene_ENSG00000181847	gene_ENSG00000135077	gene_ENSG00000089692	gene_ENSG00000188389	gene_ENSG00000163508	gene_ENSG00000163599	gene_ENSG00000138185	gene_ENSG00000198846	gene_ENSG00000122223
cell_600	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_601	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_602	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_603	11 years	0	0	0	0	0	0	0	1.4109416095494534	0	1.4109416095494534	0	0	0	0
cell_604	11 years	0	0	0	0	0	0	0	1.3196148054294334	0	0	0	0	0	0
cell_605	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_606	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_607	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_608	11 years	0	0	0	0	0	0	0	0	1.2794624296082386	0	0	0	0	0
cell_609	11 years	0	0	0	0	0	2.35105865117698	0	0	0	0	0	0	0	0
cell_610	11 years	1.6493212572288525	0	1.6493212572288525	0	0	0	0	0	0	0	0	0	0	0
cell_611	11 years	1.2178221973370933	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_612	11 years	0	0	1.3936137675001032	0	0	0	0	0	0	0	0	0	0	0
cell_613	11 years	0	0	2.980191579342283	1.555682169129277	0	0	0	0	0	0	0	0	0	0
cell_614	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_615	11 years	0	0	1.831595135850756	0	0	0	0	0	0	0	0	0	0	0
cell_616	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_617	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_618	11 years	0	0	1.4397344158908099	0	0	0	0	0	0	0	0	0	1.4397344158908099	0
cell_619	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_620	11 years	0	0	1.8442564573045532	0	0	0	0	1.2979270188870267	0	0	0	0	0	0
cell_621	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3868195909199972
cell_622	11 years	0	0	0	0	0	1.4375274610794206	0	0	0	0	0	0	0	0
cell_623	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_624	11 years	0	0	0	0	0	0	0	0	0	0	0	0	1.5104087580598349	0
cell_625	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
