cells_id	x	gene_ENSG00000228849	gene_ENSG00000109471	gene_ENSG00000111537	gene_ENSG00000178562	gene_ENSG00000109956	gene_ENSG00000181847	gene_ENSG00000135077	gene_ENSG00000089692	gene_ENSG00000276977	gene_ENSG00000163508	gene_ENSG00000163599	gene_ENSG00000138185	gene_ENSG00000198846	gene_ENSG00000122223
cell_3104	dysfunctional	0	0	0	0	0	2.400627017349096	2.400627017349096	0	0	0	0	0	0	0
cell_3105	dysfunctional	0	0	2.603847870466485	0	0	2.603847870466485	0	0	0	3.2592992418443254	0	0	3.651876555135842	0
cell_3106	dysfunctional	0	0	0	0	0	3.0397729631103063	2.393362173467386	2.393362173467386	0	0	0	0	0	0
cell_3107	dysfunctional	0	0	0	0	0	0	0	2.7471773294910227	0	0	0	0	0	0
cell_3108	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	3.5740869596593314	0
cell_3109	dysfunctional	0	0	0	2.685204697584203	0	0	0	0	2.685204697584203	2.685204697584203	2.685204697584203	0	0	0
cell_3110	dysfunctional	0	0	0	0	0	2.859188830459477	0	2.859188830459477	0	3.918841809713867	0	0	2.859188830459477	0
cell_3111	dysfunctional	0	0	2.865412369474101	2.865412369474101	0	3.5296663127506607	0	2.2276617095220828	0	0	0	0	0	0
cell_3112	dysfunctional	0	0	0	0	0	2.836734031711469	0	0	0	0	0	2.460156041226102	0	0
cell_3113	dysfunctional	1.5189892462813908	0	0	1.5189892462813908	0	0	0	1.5189892462813908	2.096201834069362	0	2.096201834069362	0	2.096201834069362	0
cell_3114	dysfunctional	0	0	0	0	0	0	0	3.679082586388175	2.1658494547684652	0	0	2.7999616082236756	3.1849476452251637	0
cell_3115	dysfunctional	0	0	0	0	0	2.3915558203048293	0	0	0	0	0	0	0	0
cell_3116	dysfunctional	0	0	0	0	0	3.064161490913591	0	1.6259605204296181	0	0	0	0	0	0
cell_3117	dysfunctional	0	0	2.305108981119461	0	0	2.9470955272183295	2.305108981119461	0	0	0	0	0	2.305108981119461	0
cell_3118	dysfunctional	0	0	0	0	0	0	2.9201387180356875	3.5859526218184072	0	0	0	0	4.265147795371897	0
cell_3119	dysfunctional	0	0	1.693870478693085	0	0	0	0	2.290613181935603	0	1.693870478693085	0	1.693870478693085	0	0
cell_3120	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_3121	dysfunctional	0	0	0	0	0	2.1213202464076146	2.752659434940183	0	0	0	2.752659434940183	0	0	0
cell_3122	dysfunctional	0	0	0	0	0	0	3.4496003241423345	0	0	0	0	0	0	0
cell_3123	transitional	0	0	0	0	0	2.2994411425040777	2.044650465067811	3.15365545697618	1.7018903642270535	0	0	0	0	1.176237450698646
cell_3124	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	3.035048184003741	3.035048184003741	0
cell_3125	dysfunctional	0	0	2.928476198903716	0	0	2.928476198903716	0	4.273835173682724	3.5945201495180834	0	0	0	0	0
cell_3126	dysfunctional	0	0	0	0	0	0	0	3.3331692955853027	0	0	0	0	0	0
cell_3127	dysfunctional	0	0	0	0	0	2.3459195094739536	0	0	2.3459195094739536	2.3459195094739536	2.3459195094739536	0	0	0
cell_3128	dysfunctional	0	0	0	0	0	0	0	4.305407640296249	0	0	0	0	0	0
cell_3129	dysfunctional	0	0	0	0	0	0	0	3.572403954263378	0	0	2.52844697628231	0	0	0
cell_3130	dysfunctional	0	0	0	0	0	3.7469296703270794	2.2276617095220828	2.865412369474101	2.2276617095220828	3.7469296703270794	2.865412369474101	0	0	2.2276617095220828
cell_3131	dysfunctional	0	0	1.8022527449438939	0	0	1.8022527449438939	0	2.784385949111821	0	2.4093370452181557	0	2.4093370452181557	0	0
cell_3132	dysfunctional	0	0	2.6539487309945566	2.6539487309945566	0	0	2.6539487309945566	0	3.7045096361670664	0	0	2.6539487309945566	0	0
cell_3133	dysfunctional	0	0	0	0	0	2.885943845437571	3.5507933487020487	2.885943845437571	0	2.885943845437571	0	0	0	0
cell_3134	dysfunctional	0	0	0	0	0	0	3.550245680078035	0	0	0	0	0	0	0
cell_3135	dysfunctional	0	0	2.4690152824513656	0	0	2.4690152824513656	0	0	2.4690152824513656	0	2.4690152824513656	0	0	0
cell_3136	dysfunctional	0	0	1.3277079642873195	0	0	3.0158637279865355	0	2.2318579766827145	2.8698471252612805	0	2.2318579766827145	0	0	0
cell_3137	dysfunctional	0	0	0	0	0	2.237321064667244	0	0	3.262111640179276	0	2.237321064667244	0	2.237321064667244	0
cell_3138	dysfunctional	0	0	0	0	0	3.8451690674129457	0	3.1731792687244615	0	4.064026890876523	0	2.5210495220503306	0	0
cell_3139	dysfunctional	0	0	0	0	0	0	1.9665921514495703	2.5872047058536505	0	2.9672733579178683	0	1.9665921514495703	0	0
cell_3140	dysfunctional	0	0	0	0	0	0	0	2.797788553311294	0	0	2.797788553311294	2.163801100621172	0	0
cell_3141	dysfunctional	0	0	0	0	0	2.51894771481597	2.51894771481597	4.061780487634984	0	0	2.51894771481597	0	0	0
cell_3142	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_3143	dysfunctional	0	0	0	0	0	0	0	2.614342112791113	0	0	0	0	0	0
cell_3144	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	2.6178687359580257	0	0
cell_3145	dysfunctional	0	0	0	0	0	0	0	3.4049264704207	4.301090454221785	0	0	3.7992600989027676	0	0
cell_3146	dysfunctional	0	0	0	0	0	0	0	2.8779911833266105	0	0	0	3.542611494100682	0	0
cell_3147	dysfunctional	0	0	0	0	0	3.1781257081557035	0	3.7197242974098597	1.9096063965242391	0	1.9096063965242391	1.9096063965242391	0	0
cell_3148	dysfunctional	0	0	0	0	0	3.8154045340014124	0	0	0	2.493104549520021	0	0	0	0
cell_3149	dysfunctional	0	0	0	0	0	2.2254489746005013	2.2254489746005013	3.2493241322109268	0	0	0	0	0	0
cell_3150	dysfunctional	0	0	0	0	0	2.978419082352315	0	0	0	0	0	0	0	0
cell_3151	dysfunctional	0	0	0	0	0	2.5466840094842436	0	2.5466840094842436	0	0	0	0	0	0
cell_3152	dysfunctional	0	0	0	0	0	3.2273627115688632	0	3.2273627115688632	0	0	0	0	0	0
cell_3153	dysfunctional	0	0	0	0	0	0	0	2.6763393329100147	2.6763393329100147	0	2.6763393329100147	0	0	0
cell_3154	transitional	0	0	0	2.6588748365906327	0	0	0	0	1.463267698673458	2.0334115090634	1.463267698673458	0	1.463267698673458	0
cell_3155	dysfunctional	0	0	0	0	0	0	0	3.3087333891671644	2.651496115198279	0	0	0	0	0
cell_3156	dysfunctional	0	0	0	0	0	0	0	2.9402801830022507	0	0	2.9402801830022507	0	2.298634647921138	0
cell_3157	transitional	0	0	1.954010848299813	0	0	0	0	3.620108285140972	0	1.954010848299813	0	0	2.573670477820255	0
cell_3158	transitional	0	0	0	0	0	0	0	3.3951271216580916	0	0	0	0	0	0
cell_3159	dysfunctional	0	0	0	0	0	0	0	3.426277066059179	0	0	0	0	0	0
cell_3160	dysfunctional	0	0	3.6458005614801743	0	0	3.468685528473166	0	3.6458005614801743	0	1.9767033448251121	2.59807244573354	0	0	0
cell_3161	dysfunctional	0	0	0	0	0	0	0	3.7057989999725383	0	0	0	0	0	0
cell_3162	dysfunctional	0	0	0	0	0	0	0	0	0	3.3542563355489627	2.3231818294858693	0	0	0
cell_3163	dysfunctional	0	0	2.749914112375097	0	0	3.6270897138398053	0	0	0	2.1187396817263315	0	3.1338377425636343	0	0
cell_3164	dysfunctional	0	0	2.3501999032919008	0	0	2.9944981157099626	0	3.3831351744398077	0	0	0	0	0	0
cell_3165	dysfunctional	0	0	2.5158047067359055	0	0	2.5158047067359055	0	2.5158047067359055	0	0	0	0	3.1677142504441984	0
cell_3166	dysfunctional	0	0	0	0	0	3.433503458345682	0	2.772120096709859	3.433503458345682	0	0	0	0	0
cell_3167	dysfunctional	0	0	2.35364026379433	0	0	2.9981103959589586	0	2.35364026379433	0	2.35364026379433	0	2.9981103959589586	0	0
cell_3168	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	3.601430450995905	0
cell_3169	dysfunctional	0	0	0	0	0	0	0	3.404457499783407	0	0	0	0	0	0
cell_3170	dysfunctional	0	0	0	0	0	2.989704071171155	1.986951484797675	3.480203583912642	0	0	0	0	2.6090790381597433	0
cell_3171	dysfunctional	0	0	0	0	0	3.990785111316385	0	2.928476198903716	3.5945201495180834	2.928476198903716	2.928476198903716	0	0	0
cell_3172	dysfunctional	0	0	0	0	0	0	0	3.6365018172459846	1.8373430765205154	1.8373430765205154	0	0	0	0
cell_3173	dysfunctional	0	0	0	0	0	3.0354252633177916	2.1887364627134054	0	1.6018018587851925	3.487244215446733	1.6018018587851925	0	0	0
cell_3174	dysfunctional	0	0	0	0	0	4.251407458130617	0	0	0	0	0	2.9069577829535476	2.9069577829535476	0
cell_3175	dysfunctional	0	0	3.9261236199470644	0	0	3.2525044865096904	0	0	0	0	3.747738299334911	0	2.2284006409544963	0
cell_3176	dysfunctional	0	0	0	0	0	2.571993598287207	0	0	0	0	0	0	0	0
cell_3177	dysfunctional	0	0	0	2.9731223700249396	0	0	0	0	0	0	0	0	0	0
cell_3178	dysfunctional	0	0	2.7820138626993645	0	0	2.7820138626993645	0	0	0	3.4437149076531584	0	0	0	0
cell_3179	transitional	0	0	0	0	0	0	2.536980586232645	0	0	0	0	2.536980586232645	0	0
cell_3180	dysfunctional	0	0	0	0	0	4.049887103576717	0	0	0	0	0	0	0	0
cell_3181	transitional	0	0	0	0	0	3.2461546717211958	0	2.5911926629667694	0	0	0	0	1.9703016021794724	0
cell_3182	dysfunctional	0	0	0	0	0	2.039785951372495	2.039785951372495	2.665694143105595	2.039785951372495	3.0477025962312427	0	0	0	2.665694143105595
cell_3183	transitional	0	0	0	0	0	0	0	0	0	3.148305024921302	0	0	0	0
cell_3184	dysfunctional	0	0	3.3189440655045597	0	0	2.6613484007210935	0	2.6613484007210935	0	0	0	0	0	0
cell_3185	dysfunctional	0	0	0	0	0	2.523156531922	0	3.8474110871016545	0	0	0	0	2.523156531922	0
cell_3186	dysfunctional	0	0	0	0	0	3.1655373076338824	0	0	2.5137158020148327	0	0	0	0	0
cell_3187	dysfunctional	0	0	0	0	0	3.9350991723766926	2.8748298291020755	3.9350991723766926	0	0	0	0	0	0
cell_3188	dysfunctional	0	0	0	0	0	0	0	2.4513889787849856	2.4513889787849856	0	2.4513889787849856	0	0	0
